Day	Pexc	Nexc	Cexc	Pwst	Nwst	Cwst
18327	0.65766	14.00792	106.75394	11.14571	127.5583	807.59863
18328	0.66857	14.2404	108.52566	11.33069	129.67531	821.00184
18329	0.64818	13.80606	105.21556	10.98509	125.72012	795.96074
18330	0.64179	13.66988	104.17774	10.87674	124.48005	788.10958
18331	0.64194	13.67315	104.20267	10.87934	124.50985	788.29821
18332	0.66466	14.15707	107.89062	11.26438	128.9165	816.19771
18333	0.65952	14.04766	107.05685	11.17733	127.92025	809.89019
18334	0.65545	13.96091	106.39568	11.1083	127.13022	804.88838
18335	0.66328	14.12775	107.66715	11.24105	128.64948	814.50714
18336	0.6656	14.17701	108.04259	11.28025	129.09809	817.34733
18337	0.66644	14.19489	108.17886	11.29448	129.26092	818.37826
18338	0.6616	14.09196	107.39443	11.21258	128.32362	812.44402
18339	0.6635	14.13232	107.70204	11.24469	128.69117	814.77106
18340	0.66272	14.11583	107.57632	11.23157	128.54095	813.81999
18341	0.66629	14.19181	108.15541	11.29203	129.2329	818.20085
18342	0.66089	14.07678	107.27874	11.2005	128.18538	811.56883
18343	0.63649	13.55712	103.31842	10.78702	123.45327	781.60879
18344	0.66992	14.26901	108.74373	11.35345	129.93587	822.65154
18345	0.66831	14.23474	108.48256	11.32618	129.6238	820.67574
18346	0.66244	14.10972	107.52978	11.22671	128.48534	813.46792
18347	0.65649	13.98295	106.56369	11.12584	127.33098	806.1594
18348	0.65389	13.92757	106.14158	11.08177	126.82661	802.96611
18349	0.64121	13.65764	104.0845	10.867	124.36864	787.4042
18350	0.63815	13.59239	103.58724	10.81509	123.77447	783.6424
18351	0.62267	13.26259	101.07386	10.55267	120.77128	764.62855
18352	0.61984	13.20247	100.61563	10.50483	120.22375	761.16205
18353	0.62231	13.25508	101.01656	10.54669	120.70281	764.19508
18354	0.61125	13.0194	99.22047	10.35917	118.5567	750.6076
18355	0.6105	13.00348	99.09914	10.3465	118.41173	749.68973
18356	0.63331	13.4893	102.80154	10.73305	122.83566	777.69858
18357	0.62118	13.23087	100.83208	10.52743	120.48239	762.79951
18358	0.61603	13.12128	99.9969	10.44023	119.48445	756.48136
18359	0.59514	12.67624	96.60525	10.08613	115.43182	730.82332
18360	0.62115	13.23027	100.82751	10.52696	120.47693	762.76495
18361	0.62488	13.30975	101.43319	10.59019	121.20064	767.34694
18362	0.61204	13.03628	99.34915	10.37261	118.71046	751.58105
18363	0.61657	13.13268	100.08379	10.44931	119.58827	757.13868
18364	0.61995	13.2048	100.63343	10.50669	120.24503	761.29674
18365	0.61353	13.0679	99.59012	10.39776	118.99839	753.40404
19001	0.61943	13.19377	100.54931	10.49791	120.14451	760.66036
19002	0.61475	13.09408	99.78963	10.41859	119.23678	754.91332
19003	0.61442	13.087	99.73565	10.41296	119.17228	754.50493
19004	0.61579	13.11607	99.95721	10.43609	119.43702	756.18109
19005	0.60976	12.9877	98.97892	10.33395	118.26807	748.78024
19006	0.60357	12.85582	97.97384	10.22902	117.06713	741.17679
19007	0.59687	12.71313	96.88638	10.11548	115.76774	732.95007
19008	0.60229	12.82863	97.7666	10.20738	116.8195	739.609
19009	0.58865	12.53804	95.55205	9.97617	114.17337	722.85581
19010	0.59604	12.69546	96.75177	10.10142	115.6069	731.93176
19011	0.59914	12.76143	97.25446	10.15391	116.20755	735.73463
19012	0.60014	12.78278	97.41724	10.1709	116.40205	736.96605
19013	0.59035	12.57427	95.82815	10.00499	114.50328	724.94452
19014	0.60355	12.85546	97.97108	10.22873	117.06383	741.15592
19015	0.60733	12.93595	98.58454	10.29278	117.79684	745.79672
19016	0.59311	12.63299	96.27562	10.05171	115.03796	728.3297
19017	0.6011	12.8033	97.57358	10.18723	116.58886	738.14879
19018	0.60447	12.8751	98.12074	10.24435	117.24265	742.28809
19019	0.60435	12.87241	98.10029	10.24222	117.21822	742.13339
19020	0.59882	12.75474	97.20351	10.14859	116.14668	735.34921
19021	0.59558	12.68566	96.67707	10.09363	115.51764	731.36665
19022	0.59576	12.68947	96.70606	10.09665	115.55228	731.58597
19023	0.5917	12.60304	96.04742	10.02789	114.76528	726.60333
19024	0.5924	12.61792	96.16079	10.03972	114.90075	727.46099
19025	0.58015	12.35701	94.17245	9.83213	112.52491	712.41905
19026	0.56701	12.07714	92.03952	9.60944	109.97632	696.28339
19027	0.56966	12.13362	92.46995	9.65438	110.49063	699.53956
19028	0.56508	12.03603	91.72622	9.57673	109.60197	693.91327
19029	0.58119	12.37915	94.34116	9.84974	112.7265	713.69539
19030	0.58108	12.37679	94.32316	9.84786	112.705	713.55922
19031	0.57518	12.25117	93.36584	9.74791	111.56111	706.31705
19032	0.57522	12.25202	93.37233	9.74859	111.56887	706.36613
19033	0.56331	11.99835	91.4391	9.54675	109.25888	691.74114
19034	0.56818	12.10201	92.2291	9.62923	110.20284	697.71753
19035	0.5649	12.03229	91.69774	9.57376	109.56793	693.69778
19036	0.5589	11.9043	90.72236	9.47192	108.40247	686.31898
19037	0.55395	11.79901	89.91994	9.38814	107.44367	680.24863
19038	0.54736	11.6587	88.85062	9.2765	106.16596	672.15922
19039	0.54347	11.57569	88.21797	9.21045	105.41001	667.37313
19040	0.53632	11.42341	87.05747	9.08929	104.02336	658.59395
19041	0.54971	11.70864	89.23125	9.31624	106.62076	675.03865
19042	0.55123	11.74094	89.47739	9.34194	106.91487	676.90071
19043	0.55002	11.71522	89.28134	9.32147	106.68062	675.4176
19044	0.54444	11.59635	88.37548	9.22689	105.59822	668.56471
19045	0.5432	11.56996	88.17434	9.20589	105.35788	667.04309
19046	0.53055	11.30063	86.12175	8.99159	102.90528	651.51513
19047	0.54394	11.58568	88.29414	9.2184	105.50103	667.94938
19048	0.55089	11.73378	89.42277	9.33624	106.84961	676.48753
19049	0.54854	11.68377	89.04165	9.29644	106.39421	673.60431
19050	0.54399	11.58678	88.30254	9.21928	105.51108	668.01297
19051	0.5438	11.58288	88.27283	9.21618	105.47557	667.7882
19052	0.56516	12.03777	91.73947	9.57811	109.61779	694.01346
19053	0.56114	11.95219	91.08728	9.51002	108.8385	689.0796
19054	0.56378	12.00833	91.51515	9.55469	109.34976	692.31648
19055	0.56308	11.99342	91.40153	9.54283	109.214	691.45695
19056	0.56349	12.00209	91.46757	9.54972	109.2929	691.95653
19057	0.56221	11.97499	91.26108	9.52817	109.04617	690.3944
19058	0.56317	11.99531	91.4159	9.54433	109.23117	691.56569
19059	0.56524	12.03951	91.75274	9.5795	109.63365	694.11388
19060	0.56957	12.13171	92.4554	9.65286	110.47324	699.42949
19061	0.57223	12.18837	92.88722	9.69794	110.98922	702.69629
19062	0.56194	11.96922	91.21709	9.52357	108.99361	690.06163
19063	0.56513	12.03703	91.73388	9.57753	109.61111	693.97117
19064	0.57455	12.23767	93.26291	9.73717	111.43813	705.5384
19065	0.58177	12.39152	94.43545	9.85959	112.83918	714.40873
19066	0.57309	12.20674	93.02718	9.71256	111.15646	703.75508
19067	0.57292	12.20294	92.99827	9.70954	111.12191	703.53633
19068	0.57501	12.24748	93.33767	9.74497	111.52745	706.1039
19069	0.56459	12.02565	91.6471	9.56847	109.50743	693.31471
19070	0.5542	11.80422	89.95961	9.39228	107.49107	680.54872
19071	0.56583	12.05202	91.84813	9.58946	109.74763	694.8355
19072	0.57931	12.33913	94.03618	9.8179	112.36209	711.38822
19073	0.57453	12.23739	93.26082	9.73695	111.43563	705.5226
19074	0.55552	11.83245	90.17474	9.41475	107.74813	682.17625
19075	0.55412	11.80255	89.94689	9.39096	107.47587	680.45252
19076	0.55497	11.82076	90.08571	9.40545	107.64174	681.50267
19077	0.55016	11.71823	89.30426	9.32386	106.70801	675.59102
19078	0.55895	11.90545	90.73106	9.47283	108.41286	686.38481
19079	0.5621	11.97247	91.24182	9.52616	109.02316	690.24872
19080	0.56583	12.05198	91.84782	9.58942	109.74725	694.83312
19081	0.57189	12.18098	92.83092	9.69207	110.92194	702.27033
19082	0.54703	11.65166	88.79699	9.2709	106.10188	671.75345
19083	0.56843	12.10747	92.27069	9.63358	110.25254	698.0322
19084	0.56758	12.08931	92.13232	9.61913	110.08721	696.98544
19085	0.56672	12.07101	91.99279	9.60456	109.92049	695.92989
19086	0.5699	12.13867	92.50845	9.6584	110.53663	699.83082
19087	0.56557	12.04641	91.80533	9.58499	109.69648	694.51168
19088	0.55777	11.88043	90.54039	9.45292	108.18503	684.94236
19089	0.53466	11.38802	86.7878	9.06113	103.70114	656.55388
19090	0.53597	11.41595	87.00066	9.08335	103.95548	658.16415
19091	0.54981	11.71081	89.24771	9.31796	106.64044	675.16322
19092	0.56385	12.0099	91.52714	9.55594	109.36408	692.40718
19093	0.55141	11.74491	89.50764	9.3451	106.95102	677.12959
19094	0.54075	11.51791	87.77764	9.16448	104.88388	664.04206
19095	0.57269	12.19807	92.96112	9.70566	111.07752	703.2553
19096	0.5753	12.25362	93.38451	9.74986	111.58342	706.45826
19097	0.56913	12.12234	92.38401	9.64541	110.38795	698.88949
19098	0.57641	12.27739	93.56567	9.76878	111.79989	707.82877
19099	0.59204	12.61018	96.10186	10.03357	114.83033	727.01515
19100	0.58879	12.54095	95.5742	9.97848	114.19984	723.0234
19101	0.57902	12.33302	93.98958	9.81304	112.30641	711.03566
19102	0.58106	12.37636	94.31989	9.84752	112.70109	713.53448
19103	0.58429	12.44511	94.8438	9.90222	113.3271	717.4979
19104	0.57745	12.29951	93.73423	9.78638	112.00129	709.1039
19105	0.57888	12.32999	93.96651	9.81063	112.27884	710.86115
19106	0.58983	12.56321	95.74383	9.99619	114.40253	724.30663
19107	0.59369	12.64552	96.37116	10.06169	115.15211	729.05241
19108	0.59039	12.57505	95.83411	10.00562	114.5104	724.98964
19109	0.57992	12.35208	94.13488	9.82821	112.48002	712.13485
19110	0.58612	12.48409	95.14089	9.93324	113.68208	719.74536
19111	0.59176	12.60423	96.05648	10.02883	114.7761	726.67183
19112	0.60468	12.87957	98.15482	10.24791	117.28338	742.54595
19113	0.61897	13.18385	100.47373	10.49002	120.0542	760.08859
19114	0.583	12.41777	94.63549	9.88047	113.07819	715.92198
19115	0.58143	12.38436	94.38083	9.85389	112.7739	713.99548
