"day","0_faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2"
241,11.3411655934292,1.11115753273719,2.50699449960014,0.245624296710326,18.4642134573724,1.80904243926335,8.34723690405393,7.44316050637351,7.5522619608107,6.73428807719508,17.4894487513511,15.5951934419255
242,11.2617011385548,1.01187820526089,2.48942867273317,0.223678340110301,18.334839748384,1.64740872716158,7.55003288391714,6.77813151849398,6.83098213306789,6.13259518339931,15.8191165186835,14.2017993720826
243,11.1478119877593,0.925317445403573,2.46425317624154,0.204543856352369,18.1494202186678,1.50648173567459,6.8884798942744,6.19829867734451,6.23243419005779,5.60798451759741,14.4330054927654,12.9869115144361
244,11.363195838646,1.02353942498289,2.51186434327964,0.22625608341727,18.5000802425675,1.66639401120021,7.62940275523427,6.85624495203848,6.90279296902148,6.20326924232053,15.9854152966813,14.3654656137949
245,11.5956502980966,1.10218993811396,2.56324901326346,0.243641986319927,18.8785324151467,1.79444256591184,8.25596738979348,7.38309049454324,7.46968478124172,6.67993901887246,17.2982173881387,15.4693324647573
246,11.8132683250009,1.18502256009025,2.61135405078966,0.26195235538837,19.2328298343874,1.92929988730482,8.88695490864066,7.93795016328394,8.04057825067488,7.18195490963785,18.6202864752471,16.631895580214
247,12.0236034962976,1.27918701698891,2.65784919391841,0.282767656387023,19.5752702536213,2.08260623116791,9.66166792901598,8.56871686021281,8.74150907863351,7.75264858781159,20.2434947084144,17.9535019928268
248,12.2197695862747,1.36983743665279,2.70121222433442,0.30280617020746,19.8946424141455,2.23019147581367,10.4363339581236,9.1759445517412,9.44239739068324,8.30204507062299,21.8666044836875,19.2257885846006
249,12.4155908565111,1.46636847403159,2.7444990314393,0.324144610049089,20.2134531839339,2.38735077877424,11.3082501877382,9.82256394088149,10.2312739793822,8.88708166079753,23.6934765838325,20.5806101618469
250,12.6232082413234,1.57649910692353,2.7903934007136,0.348489276267307,20.5514688560494,2.56665117758778,12.2910385814741,10.5602810990093,11.1204634784766,9.55454004196079,25.7526522659458,22.1263032550671
251,12.79495151544,1.65847256041551,2.82835770341306,0.366609723881323,20.8310789584708,2.70010971239577,13.0393754514545,11.1093855721613,11.7975301703636,10.0513488510031,27.3205961839999,23.2768078654808
252,12.9807374567093,1.75690933811129,2.869426174641,0.388369432635127,21.1335515084671,2.86037169432856,13.9310107308325,11.7687706859129,12.6042478040865,10.6479353824927,29.188784388411,24.6583766752462
253,13.1526497829989,1.85057266471046,2.90742784676817,0.409073957462312,21.4134368396893,3.01286216289703,14.9155698740982,12.396180529161,13.4950394098984,11.2155919073361,31.2516702123963,25.9729496801468
