radius,center,image_name
18,"(1516, 1170)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
17,"(1804, 1104)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
17,"(1682, 1106)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
17,"(1656, 946)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
16,"(1538, 952)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
16,"(1410, 1222)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
19,"(2024, 1024)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
19,"(1860, 1086)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
14,"(1836, 1028)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
18,"(1642, 914)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
18,"(1302, 986)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
15,"(1538, 1222)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
14,"(1952, 990)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
14,"(1736, 1078)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
14,"(1394, 1286)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
17,"(1442, 1266)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
16,"(1916, 1060)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
13,"(1372, 1238)","image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg"
25,"(1352, 1474)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
29,"(676, 1702)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
29,"(956, 1412)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
29,"(702, 1534)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
20,"(858, 1550)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
25,"(860, 1452)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
21,"(1466, 1626)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
19,"(1150, 1528)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
29,"(648, 1634)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
20,"(1122, 1446)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
19,"(878, 1604)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
15,"(1124, 1708)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
20,"(1196, 1736)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
19,"(1142, 1762)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
19,"(1450, 1574)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
17,"(822, 1624)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
18,"(1088, 1784)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
18,"(928, 1578)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
19,"(1086, 1512)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
18,"(1364, 1668)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
16,"(908, 1802)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
18,"(1142, 1492)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
20,"(1014, 1752)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
18,"(1390, 1592)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
17,"(958, 1776)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
16,"(1178, 1688)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
29,"(762, 1494)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
18,"(1038, 1532)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
18,"(1232, 1660)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
14,"(982, 1824)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
14,"(1278, 1634)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
19,"(1064, 1460)","image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg"
